iter	Logloss
0	0.6282926614
1	0.5848527422
2	0.55372594
3	0.5291843761
4	0.5085812089
5	0.4899258446
6	0.4750033351
7	0.4616751462
8	0.4520173602
9	0.4407544787
10	0.4309003807
11	0.4188447355
12	0.406479795
13	0.3973841028
14	0.388849083
15	0.3839712581
16	0.3751166376
17	0.3665892554
18	0.3601396547
19	0.3526084787
20	0.3464128682
21	0.3399115578
22	0.335708476
23	0.3316024468
24	0.3283426794
25	0.3250793843
26	0.3204064671
27	0.3152147322
28	0.3115720582
29	0.3078222926
30	0.3018268514
31	0.297202083
32	0.2935617033
33	0.2896146737
34	0.2863380924
35	0.2820103473
36	0.2783216466
37	0.2759449067
38	0.2731398815
39	0.2694499721
40	0.2672177979
41	0.2642321304
42	0.2613187459
43	0.2570786079
44	0.2533113072
45	0.2483308519
46	0.2479410701
47	0.244863072
48	0.2430517272
49	0.2400755325
50	0.2373947525
51	0.2347091697
52	0.2313435136
53	0.2294394801
54	0.2259236877
55	0.2227401482
56	0.2196237938
57	0.2172315108
58	0.2140251078
59	0.2113134609
60	0.2094888766
61	0.2054381379
62	0.2037433246
63	0.2017723277
64	0.1982153803
65	0.1961924851
66	0.1949468514
67	0.1939280696
68	0.1918051605
69	0.1892643409
70	0.1872176239
71	0.1856305732
72	0.1844579693
73	0.1823990873
74	0.1799157504
75	0.1773608096
76	0.1745628196
77	0.1732183596
78	0.1708733741
79	0.1691676179
80	0.1681323899
81	0.1666004123
82	0.1647625417
83	0.1637565436
84	0.1626370916
85	0.16133943
86	0.16010426
87	0.1586700674
88	0.1584991912
89	0.1574532548
90	0.1565162771
91	0.154975379
92	0.1535967058
93	0.1518716877
94	0.1511110393
95	0.1493251843
96	0.1476569244
97	0.1465327239
98	0.1456483478
99	0.1443179871
100	0.1436341767
101	0.1424848729
102	0.1410842705
103	0.1396694814
104	0.13798334
105	0.1364569696
106	0.134682622
107	0.1331754167
108	0.1320450393
109	0.1309390261
110	0.1300440859
111	0.1291120883
112	0.1281985407
113	0.1266548509
114	0.1253839917
115	0.1242962033
116	0.1226724529
117	0.1213658816
118	0.1205422536
119	0.1199244484
120	0.1191995013
121	0.1179444646
122	0.1168094172
123	0.1157963403
124	0.1149086772
125	0.1141500704
126	0.1131798124
127	0.1124487625
128	0.1114565208
129	0.1107420751
130	0.1097965227
131	0.1084830176
132	0.107935977
133	0.1069259393
134	0.1063498425
135	0.1054407597
136	0.104317004
137	0.1035985352
138	0.1027946663
139	0.1020685743
140	0.1012133481
141	0.1003632576
142	0.09985371218
143	0.09897742052
144	0.09837122355
145	0.09758355988
146	0.09693126184
147	0.09622046791
148	0.09561150578
149	0.0948541254
150	0.0941383598
151	0.09360149508
152	0.09323952746
153	0.09280906747
154	0.09218412712
155	0.09161734344
156	0.09113999288
157	0.09052027735
158	0.08966220667
159	0.08912184229
160	0.08850389046
161	0.08798322938
162	0.08737639234
163	0.08692252913
164	0.08657322949
165	0.08604318267
166	0.08540761054
167	0.08507604932
168	0.08455212081
169	0.08397606014
170	0.08359825936
171	0.08324885376
172	0.08240127434
173	0.08191791255
174	0.0811698566
175	0.08070703657
176	0.08024654461
177	0.07960074223
178	0.07932889449
179	0.0789581207
180	0.07825413165
181	0.07802585053
182	0.07730458711
183	0.07665236874
184	0.07634776891
185	0.0759323535
186	0.07564901207
187	0.07514639976
188	0.07480549523
189	0.07415653078
190	0.073754657
191	0.07345611305
192	0.07312332433
193	0.07258699207
194	0.07227433605
195	0.07181822007
196	0.07158189161
197	0.0712209952
198	0.07097586488
199	0.07064354497
200	0.07028437412
201	0.06996482815
202	0.06966589182
203	0.0693671081
204	0.06894085939
205	0.06828126568
206	0.06794454086
207	0.06748328956
208	0.0672119164
209	0.06677493623
210	0.06624780947
211	0.06594376342
212	0.06553008201
213	0.06520320195
214	0.06464135493
215	0.06430875643
216	0.06387292385
217	0.06350295897
218	0.06315635967
219	0.06282040505
220	0.06251896114
221	0.06216101215
222	0.06183852664
223	0.0615322391
224	0.06095278426
225	0.06056441619
226	0.06023953957
227	0.05997765609
228	0.05960535178
229	0.0593231259
230	0.05902738658
231	0.05875014215
232	0.05862118867
233	0.05820401534
234	0.058053385
235	0.05777077486
236	0.05749281857
237	0.05725694931
238	0.05708888853
239	0.05685176709
240	0.05652949747
241	0.05621560239
242	0.05589032703
243	0.05552847555
244	0.05519126371
245	0.05491295472
246	0.05472251457
247	0.05434086998
248	0.05407795111
249	0.05388893279
250	0.05361521743
251	0.05331714372
252	0.05296174263
253	0.05264318313
254	0.05240317638
255	0.0520843108
256	0.05176362547
257	0.05148802122
258	0.05134693055
259	0.05106775563
260	0.05074643695
261	0.05044486764
262	0.05020841892
263	0.05009516871
264	0.04992049254
265	0.04977804104
266	0.04954100308
267	0.04932387485
268	0.0491392936
269	0.04882129255
270	0.04863870932
271	0.04843339848
272	0.0482029744
273	0.04797648322
274	0.04777642848
275	0.04757673172
276	0.04737582713
277	0.04712650356
278	0.04691076482
279	0.04667424408
280	0.04636460033
281	0.04614306709
282	0.04595098611
283	0.04572992687
284	0.04551341132
285	0.04526704557
286	0.04507024116
287	0.0447957067
288	0.04452661855
289	0.04432263933
290	0.04419815128
291	0.04406087493
292	0.04388376234
293	0.0436141281
294	0.04343407541
295	0.04329437256
296	0.0430862698
297	0.04292074304
298	0.04274529328
299	0.04250248938
